species;clade;family;spec_nr;pop_nr;DPR_orig;DPR;DPR_trans;TPR_orig;Latitude;Longitude;Loc_nr;years_nr;mean_year;Period;N_nests;Exposure
Charadrius_semipalmatus;Charadrii;Charadriidae;61;2;0.019569472;0.029569472;YES;0.424995663;54.017;-132.133;46;5;1986;Before 2000;47;613.2
Coenocorypha_aucklandica;Scolopaci+;Scolopacidae;27;1;0;0.01;YES;0;-48.03333;166.6;123;6;1984;Before 2000;40;842.4
Haematopus_ostralegus;Charadrii;Other;36;5;0.011138959;0.021138959;YES;0.273300077;-43.545;172.186;113;2;1982;Before 2000;13;179.55
Himantopus_himantopus;Charadrii;Other;43;2;0.007065889;0.017065889;YES;0.178624123;-43.545;172.186;113;2;1982;Before 2000;13;141.525
Jacana_jacana;Scolopaci+;Other;66;1;0.006613757;0.016613757;YES;0.191312876;6.464;-57.76;19;1;1977;Before 2000;34;604.8
Limnodromus_scolopaceus;Scolopaci+;Scolopacidae;70;1;0.013302295;0.023302295;YES;0.277288664;70.38;-149.534;73;4;1990;Before 2000;17;225.525
Limosa_limosa;Scolopaci+;Scolopacidae;74;2;0.0255947;0.0355947;YES;0.503441743;52.517;4.783;146;4;1985;Before 2000;420;5313.6
Metopidius_indicus;Scolopaci+;Other;75;1;0.056638348;0.066638348;YES;0.815639308;9.183;77.383;144;3;1996;Before 2000;20;300.15
Phalaropus_fulicarius;Scolopaci+;Scolopacidae;80;1;0.009746589;0.019746589;YES;0.20013496;70.38;-149.534;73;4;1990;Before 2000;56;718.2
Pluvialis_dominica;Charadrii;Charadriidae;84;1;0.023852117;0.033852117;YES;0.540930286;70.38;-149.534;73;4;1990;Before 2000;24;377.325
Pluvialis_squatarola;Charadrii;Charadriidae;86;1;0.014316392;0.024316392;YES;0.367345343;70.38;-149.534;73;4;1990;Before 2000;25;419.1
Steganopus_tricolor;Scolopaci+;Scolopacidae;94;2;0.092592593;0.102592593;YES;0.927445785;47.606;-101.185;9;1;1975;Before 2000;23;194.4
Tryngites_subruficollis;Scolopaci+;Scolopacidae;102;1;0.01610306;0.02610306;YES;0.354881536;70.38;-149.534;73;4;1990;Before 2000;26;372.6
Calidris_alba;Scolopaci+;Scolopacidae;9;2;0.01914;0.02914;NO;0.45;74.478;-20.555;149;4;1997;Before 2000;36;365.8
